modern,original
"The English army is near , led by Malcolm , his uncle Siward , and the good Macduff .","The English power is near , led on by Malcolm , His uncle Siward and the good Macduff ."
Take it to your master and bring him home immediately .,"Bear it straight , And bring thy master home immediately ."
and not criticize you for your desires good or bad,not blame your pleasure be it ill or well
Be at ease .,You see how easily she may be surprised .
What a backward world we live in !,Here's a good world the while .
"Oh , sir , you are too good at predicting the future .","O sir , you are too sure an augurer ."
Where's the necklace ?,"Come , where's the chain ?"
"When I meet this gentleman , I'll tell him what you've said .","When I know the gentleman , I'll tell him what you say ."
By eight o'clock .,By the eighth hour .
i am not like that other poet,so is it not with me as with that muse
"When I talked about all these things , Desdemona used to listen attentively .",These things to hear Would Desdemona seriously incline .
Go back to where you're staying and go to sleep .,"Retire thee , go where thou art billeted ."
"If it pleases your Majesty , it is the token of a man I must fight with , if he's still alive .","An't please your Majesty , 'tis the gage of one that I should fight withal , if he be alive ."
Leave me alone .,Let me go .
"Call my guard , please .","Call my guard , I prithee ."
"It's clear that someone less noble , less loyal , more bloody-minded than Clarence but not a blood relation , deserves as bad an end as my brother , but he goes free .","God grant that some , less noble and less loyal , Nearer in bloody thoughts , and not in blood , Deserve not worse than wretched Clarence did , And yet go current from suspicion ."
"You're not asleep yet , sir ?","What , sir , not yet at rest ?"
Where is my husband ?,Where is my lord ?
"Run , run , oh , run !","Run , run , O , run !"
"No , it would be impossible .",It is not possible .
How is your majesty doing ?,How fares your majesty ?
"Sir , he's with Caesar .","Sir , He is with Caesar ."
Do you love me ?,Do not you love me ?
Did he treat you well when you saw him ?,Did he receive you well ?
Don't talk back to me .,Do not answer me .
Take this !,Have at you now !
"I've hired five hundred almsmen to hold up their withered hands to heaven , praying for my pardon twice a day throughout the year .","Five hundred poor I have in yearly pay , Who twice a day their withered hands hold up Toward heaven to pardon blood ."
"Where is my lord , the duke of Gloucester ?",Where is my lord the duke of Gloucester ?
the mortal moon has experienced her own eclipse,the mortal moon hath her eclipse endured
"I go over hills and valleys , through bushes and thorns , over parks and fenced-in spaces , through water and fire .","Over hill , over dale , Thorough bush , thorough brier , Over park , over pale , Thorough flood , thorough fire ."
"She'll be buried with her face upwards , then .",She shall be buried with her face upwards .
Summertime in Verona has no flower as fine as him .,Verona's summer hath not such a flower .
What do you want ?,What wouldst thou ?
"Come , shall we hunt some deer for dinner ?",I would not change it .
Who do you want to work for ?,Who wouldst thou serve ?
Get me out of here !,"Give me some light , away !"
Do you think so ?,Think you so ?
"I found him here , Beating ?",I found him here as melancholy as a lodge in a warren .
Call him in .,Call him in .
"Well , sir , the gown is not for me .","Well , sir , in brief , the gown is not for me ."
"I'm sorry about what happened , but I'm sure everything will turn out all right .","I am sorry For your displeasure , but all will sure be well ."
You started a fight with a man who coughed in the street because he woke up a dog that was sleeping in the sun .,Thou hast quarreled with a man for coughing in the street because he hath wakened thy dog that hath lain asleep in the sun .
"Yes , for your own safety , you should deny one thing : you have been a great thief at sea .","Yes , something you can deny for your own safety : you have been a great thief by sea ."
But what do you say to my request ?,"But now , my lord , what say you to my suit ?"
"Oh , please don't swear , my lord of Buckingham .","O , do not swear , my lord of Buckingham !"
"That's good , if he'll really do it .","So said , so done , is well ."
"I have to stay with the servants , who are with our camp's luggage .",I must stay with the lackeys with the luggage of our camp .
"I sent the king's son off by himself to a faraway nook on the island , where he's sitting now sighing , with his arms crossed like this .","The king's son have I landed by himself , Whom I left cooling of the air with sighs In an odd angle of the isle , and sitting , His arms in this sad knot ."
"No , he hasn't .",That he hath not .
You may as well try to turn the sun to ice by fanning its face with a peacock feather .,You may as well go about to turn the sun to ice with fanning in his face with a peacock's feather .
Please don't be offended that I don't want to offend you any more .,Take no offense that I would not offend you .
"If you're Stephano , touch me and speak to me .","If thou beest Stephano , touch me and speak to me ."
Pindarus !,"What , Pindarus !"
Please put that log down and rest a while .,"Pray , set it down and rest you ."
Give me your blessing .,Give me your blessing .
"We meant to tell the king that his orders have been carried out , and Rosencrantz and Guildenstern are dead .","The ears are senseless that should give us hearing , To tell him his commandment is fulfilled , That Rosencrantz and Guildenstern are dead ."
"Oh , one child is one too many !","O , one too much by thee !"
the harmony of strings that amazes my ears,the wiry concord that mine ear confounds
What did he say ?,What said he ?
Is this true ?,Even so ?
What further pain must I endure in my old age ?,What further woe conspires against mine age ?
"What , you're leaving it with Lysander ?","What , with Lysander ?"
"Yes , and his relative , too .",And his kinsman too .
Did I work to make him king for this ?,Made I him king for this ?
But they're siding with a better wrestler than myself .,"Oh , they take the part of a better wrestler than myself ."
Don't ask me what I know .,Ask me not what I know .
I'd rather be hung in chains from one of our pyramids !,Rather make My country's high pyramides my gibbet And hang me up in chains !
"Lecherous Cleopatra , may all the charms of love soften those withered lips !","But all the charms of love , Salt Cleopatra , soften thy wanned lip !"
Go look and then do the talking yourselves .,"See , and then speak yourselves ."
you see in me the glowing of a kind of fire,in me thou seest the glowing of such fire
"Don't let us talk you into anything , but consider carefully the value of our offers .","Which do not be entreated to , but weigh What it is worth embraced ."
I don't think about them now .,I think not of them .
Is something about to happen that warrants working this night and day ?,"What might be toward , that this sweaty haste Doth make the night joint laborer with the day ?"
"If we happen to offend you , it's because we want to .","If we offend , it is with our good will ."
Be kind now and tell me some excellent fortune .,"Good now , some excellent fortune !"
Give me your blessing .,"Pray you , let's have no more fooling about it , but give me your blessing ."
You keep cramming words into my ears that I don't want to hear .,You cram these words into mine ears against The stomach of my sense .
"Just as you'd like to have your sins forgiven , Indulge me , forgive me , and set me free .","As you from crimes would pardoned be , Let your indulgence set me free ."
I'll copy the embroidery pattern and then give it to Iago .,I'll have the work ta'en out And give 't Iago .
He looks like someone with a strange tale to tell .,So should he look That seems to speak things strange .
so that it does not grow with heat or drown in showers,that it nor grows with heat nor drowns with showers
But here comes Antony .,But here comes Antony .
You're Lear's shadow .,Lear's shadow .
Leave me alone .,Let me be clear of thee .
but for his theft at the peak of his growth,but for his theft in pride of all his growth
Then I guess the whole world is one .,Then is the world one .
And he told us to follow him to the temple .,And he did bid us follow to the temple .
That's well spoken .,Well said .
That's what I'm afraid of .,That's my fear .
"And my king goes on : if your royal father does not sweeten the bitter insult you sent my king and grant all our demands , Henry's artillery will give you so resounding an answer that the very caves and vaulted cathedrals of France shall echo your mocking of him back in your face .","Thus says my king : an if your father's Highness Do not , in grant of all demands at large , Sweeten the bitter mock you sent his Majesty , He'll call you to so hot an answer of it That caves and womby vaultages of France Shall chide your trespass and return your mock In second accent of his ordinance ."
Good-bye .,Fare thee well .
"No , I'd rather you stayed here .","By your patience , no ."
He's married .,He's married .
That's good advice .,You advise me well .
"Antonio and Shylock , both of you come forward .","Antonio and old Shylock , both stand forth ."
"Our love , which right now is like a flower bud in the summer air , may turn out to be a beautiful flower by the next time we meet .","This bud of love , by summer's ripening breath , May prove a beauteous flower when next we meet ."
"Come , and you can have a queen .","Come , come and take a queen Worth many babes and beggars !"
for those who not born beautiful have become beautiful,at such who not born fair no beauty lack
Then we'll be stuffed with news .,Then shall we be news-crammed .
Let me go .,Let me go .
"My husband is alive on earth , my vows of marriage are in heaven .","My husband is on earth , my faith in heaven ."
"A conclusion , a conclusion : he is in love .","Conclude , conclude , he is in love ."
"As for myself , I didn't dare laugh , for fear of opening my lips and inhaling the stinking air .","And for mine own part , I durst not laugh for fear of opening my lips and receiving the bad air ."
"That's the one , sir .","Even he , sir ."
"What's the matter , lieutenant ?","What's the matter , lieutenant ?"
reserve for their writing a golden pen,reserve their character with golden quill
How could it be wisdom !,Wisdom !
He's late .,His hour is almost past .
What's going on ?,How now !
I bet it will .,I warrant it will .
of her father .,And let her speak of me before her father .
"He's a king , a king !","A king , a king !"
"It would be inappropriate , dangerous , even , for me to be seen working against the Moor , as I would if I stayed .","It seems not meet , nor wholesome to my place , To be producted ( as , if I stay , I shall ) Against the Moor ."
Think about it carefully .,Nor will not .
Macbeth !,Macbeth !
You abused me to my face .,It was ourself thou didst abuse .
I won't exhaust you anymore with idle chitchat .,I will weary you then no longer with idle talking .
"Please , stop bowing , good sir .","Pray you , leave your courtesy , good monsieur ."
"Sir , he should have as many as Caesar has .","He needs as many , sir , as Caesar has , Or needs not us ."
"Since nobody knows anything about what he leaves behind , then what does it mean to leave early ?","Since no man of aught he leaves knows , what is 't to leave betimes ?"
Do you know Captain Gower ?,Know'st thou Gower ?
How old is she ?,"Bid him Report the feature of Octavia : her years , Her inclination ."
No .,No .
"Oh , sad day !",O woeful day !
"No , none that you're smart enough to make .","No , none that thou hast wit enough to make ."
the lines that i have written before are lies,those lines that i before have writ do lie
since your eyes cannot hold signs of hatred,for there can live no hatred in thine eye
high and lowborn people love these charms and flaws,both grace and faults are loved of more and less
Nothing .,Nothing at all .
I'll find Romeo to comfort you .,I'll find Romeo To comfort you .
"But my daughter should know about this , so she can be prepared with an answer just in case .","But I will acquaint my daughter withal , that she may be the better prepared for an answer if peradventure this be true ."
"In any case , our survival depends on putting together the strongest force possible .",It only stands Our lives upon to use our strongest hands .
"If I let myself do what I yearn to , I'd rip the flesh off your bones .","Were 't my fitness To let these hands obey my blood , They are apt enough to dislocate and tear Thy flesh and bones ."
"I'd rather have a jester to make me happy than experience to make me sad , and to travel for all that trouble , no less !","I had rather have a fool to make me merry than experience to make me sad , and to travel for it , too ."
"And yet I wouldn't want to be you , uncle .","And yet I would not be thee , nuncle ."
Who's talking to him now ?,Who of my people hold him in delay ?
I'll try talking to him again .,I'll entreat for thee .
There's a lot to learn when a fool recites the words of a madman .,Look then to be well edified when the fool delivers the madman .
Is that so ?,"Is 't so , indeed ."
Not me .,"Not I , believe me ."
"Yes , my lord .","Ay , my lord ."
"Hey monster , the spirit you've been talking about , the one you call harmless , has been playing tricks on us .","Monster , your fairy , which you say is a harmless fairy , has done little better than played the jack with us ."
Stop .,"Stand , ho !"
"Some people in the street are crying ""Romeo."" Some are crying ""Juliet , "" and some are crying ""Paris."" They're all running in an open riot toward our tomb .","Oh , the people in the street cry ""Romeo , "" Some ""Juliet , "" and some ""Paris , "" and all run With open outcry toward our monument ."
"Her ladies-in-waiting saw her go to bed , and early this morning the bed was empty .","The ladies , her attendants of her chamber Saw her abed , and in the morning early They found the bed untreasured of their mistress ."
when extreme speed can only seem slow,when swift extremity can seem but slow
I've never been your enemy .,I never hated thee .
"For that kind of relief , the patient must heal herself .",Therein the patient Must minister to himself .
"My granddaughter , with her kind aunt , the duchess of Gloucester , leading her by the hand ?",My niece Plantagenet Led in the hand of her kind aunt of Gloucester ?
"When you record these sad events in your letters , please describe me exactly as I am .","Then must you speak Of one that loved not wisely , but too well ."
goodbye you are too precious to be my possession,farewell thou art too dear for my possessing
and the legitimate pleasure is lost when it is labeled as vile,and the just pleasure lost which is so deemed
The king made peace among all of us .,I hope the king made peace with all of us ; And the compact is firm and true in me .
Won't you be glad to see that rascal dog humiliated ?,Wouldst thou not be glad to have the niggardly rascally sheep-biter come by some notable shame ?
"No one , Brutus , no one .","None , Brutus , none ."
God will revenge it .,God will revenge it .
But we won't shift the scene to Southampton until Henry reappears .,"But , till the king come forth , and not till then , Unto Southampton do we shift our scene ."
He doesn't have children .,He has no children .
I hope you're strong enough to do it .,Now let thy friendly hand Put strength enough to 't .
"He sees himself in my two eyes , so there's two of him .","In both my eyes he doubly sees himself , In each eye , one ."
by praising my love here who is far away from me,by praising him here who doth hence remain
"Why , what are you afraid of ?","Why , what should you fear ?"
"It's true , he died on the day my sister turned thirteen .",He finished indeed his mortal act That day that made my sister thirteen years .
Take him to the surgeons .,Go get him surgeons .
"Sir , I tell you that we are not .","Sir , I say to you we are none ."
"If you say one more word , I'll punish you , maybe even hate you .","One word more Shall make me chide thee , if not hate thee ."
"Well , if you could have just an inch of better fortune than me , where would you like the improvement ?","Well , if you were but an inch of fortune better than I , where would you choose it ?"
Why did this have to happen now ?,"Uncomfortable time , why camest thou now To murder , murder our solemnity ?"
"For various reasons that must remain secret , please do this for me .","For divers unknown reasons , I beseech you , Grant me this boon ."
"Inside the little rind of this weak flower , there is both poison and powerful medicine .",Within the infant rind of this small flower Poison hath residence and medicine power .
"A fine ship , with some good people in it , I'm sure , smashed to pieces .","A brave vessel Who had , no doubt , some noble creature in her Dashed all to pieces ."
Now go !,Away !
Goodbye .,Adieu .
"Dear sir , I pity the lady and wish , more for her sake than my own , that I was more able to help her .","Fair sir , I pity her And wish , for her sake more than for mine own , My fortunes were more able to relieve her ."
You told me you hated him .,Thou told'st me Thou didst hold him in thy hate .
"She shall , Lucentio .","She shall , Lucentio ."
"Phoebe , keep your promise to marry me , and to marry this shepherd if you choose to refuse me .","Keep your word , Phoebe , that you'll marry me Or else , refusing me , to wed this shepherd ."
"If your Majesties recall it , the Welsh fought very valiantly in a garden where there were leeks growing , wearing leeks in their Monmouth caps which , your Majesty knows , is to this day a badge of honorable military service .","If your Majesties is remembered of it , the Welshmen did good service in a garden where leeks did grow , wearing leeks in their Monmouth caps , which , your Majesty know , to this hour is an honorable badge of the service ."
"Oh , that was unbelievably low !","Oh , rarely base !"
Sadness and despair !,"Alas , and woe !"
I was about to swear that I loved you .,I was about to protest I loved you .
This last course here is for closing up the stomach after great feasting .,"My banquet is to close our stomachs up , After our great good cheer ."
in this way you will feed on death which feeds on men,so shall thou feed on death that feeds on men
Our bodies are like gardens and our willpower is like the gardener .,"Our bodies are our gardens , to the which our wills are gardeners ."
And like I am for Ganymede .,And I for Ganymede .
And it might back up other evidence that may seem too flimsy .,And this may help to thicken other proofs That do demonstrate thinly .
"Well , that proves she's in love with you .",This was a great argument of love in her toward you .
I don't even have one to throw at a dog .,Not one to throw at a dog .
Is that the man ?,Is yonder the man ?
But as a gentleman and a soldier he's promised me he won't hurt you .,"But he has promised me , as he is a gentleman and a soldier , he will not hurt you ."
Baby blooms are most susceptible to disease .,"And in the morn and liquid dew of youth , Contagious blastments are most imminent ."
"He didn't say anything , he's reading .","He did not call , he's busy in the paper ."
"First you taught me how to beg , and now I think you're teaching me how a beggar should be answered .","You taught me first to beg , and now methinks You teach me how a beggar should be answered ."
"I could rhyme like that for eight years in a row , excepting meal times and sleeping hours .","I'll rhyme you so eight years together , dinners and suppers and sleeping hours excepted ."
Caesar is in a sober mood .,"Caesar is sad , and Lepidus , Since Pompey's feast , as Menas says , is troubled With the greensickness ."
This is no place for you ; this home is now a slaughterhouse .,"This is no place , this house is but a butchery ."
Love can make worthless things beautiful .,"Things base and vile , holding no quantity , Love can transpose to form and dignity ."
"What , Gertrude ?","So , again , good night ."
You are building your nest in,Urge neither charity nor shame to me .
"Bad deeds will be revealed , no matter how people try to hide them .","Foul deeds will rise , Though all the earth o'erwhelm them , to men's eyes ."
not to tell me about good or bad luck,but not to tell of good or evil luck
"Why , sweetheart ?","Wherefore , sweetheart ?"
Give me your hand .,Give me thy hand .
Then see the evidence of their evil with your own eyes .,Then be your eyes the witness of their evil .
"Bathe his filthy head with warm , scented water .",Balm his foul head in warm distilled waters And burn sweet wood to make the lodging sweet .
Don't reply .,Reply not .
"Good evening , brother .","Good e'en , brother ."
And no man with a reputation will tarnish that name with lies and bad behavior .,"Yet the gold bides still That others touch , and often touching will Wear gold ; yet no man that hath a name By falsehood and corruption doth it shame ."
Let me shake your hand .,Let me have your hand .
"I'll do it , if you help me out .","I will do this , if you can bring it to any opportunity ."
And I know that by now they're waiting for me on the porch outside Pompey's theater .,And I do know by this they stay for me In Pompey's porch .
"Murder , murder !","Murder , murder !"
"I am dying , Cleopatra , dying .","I am dying , Egypt , dying ."
"I would , if I had a mirror .","Had I a glass , I would ."
"With Rosaline , father ?","With Rosaline , my ghostly Father ?"
Very good !,Very good !
"I swear to God , madam , you've wronged me , and I'll tell the whole world .","By the Lord , madam , you wrong me , and the world shall know it ."
"If a Jew offends a Christian , what's the Christian's kind and gentle reaction ?","If a Jew wrong a Christian , what is his humility ?"
The night air is too raw and cold for us to stay outdoors .,The dew is raw and cold .
let others say more who like rumor too much,let them say more that like of hearsay well
"Come , come , you're making fun of me .","You mock me , madam ."
Even more since you annexed my father's house and lands .,"At land indeed Thou dost o'ercount me of my father's house , But since the cuckoo builds not for himself , Remain in 't as thou mayst ."
"Well , the point is , he's lost a ship .","Why , the end is he hath lost a ship ."
"Do you have any doubts , Antonio ?","Fear'st thou that , Antonio ?"
"Meanwhile , after you .","Till then , lead thou first ."
The priest is already there .,"Softly and swiftly , sir , for the priest is ready ."
"I'm positively stuffed with air , I eat so much of it .",You can not feed capons so .
Tell me that .,Tell me that .
until whatever star that guides my movements,till whatsoever star that guides my moving
"Even if we fail at that , we can still fight him on land .","But if we fail , We then can do 't at land ."
And a true lover of the holy Church .,And a true lover of the holy Church .
"So how did it go , sir ?","How is 't , my noble lord ?"
"Tell me truthfully , do you love my sister ?","Tell me but truly , but then speak the truth , Do you not love my sister ?"
"She can turn and turn , and then turn on you again .","Sir , she can turn , and turn , and yet go on , And turn again ."
Your attendant asses are getting the horses ready .,Thy asses are gone about 'em .
"Othello , I've been seriously hurt .","Worthy Othello , I am hurt to danger ."
You don't really love me .,There is no love in you .
It's so simple !,"How easy is it , then !"
It's yours .,I give it you .
"We three are married , but you two are defeated .","We three are married , but you two are sped ."
air is my thought and fire is my desire,the first my thought the other my desire
That's what I'm doing .,So I do .
"I don't know any fancy ways of talking about love , only to say right out , ""I love you."" If you press me any further than with the question , ""Do you really ? "" my love scene is over .","I know no ways to mince it in love , but directly to say , ""I love you."" Then if you urge me farther than to say , ""Do you , in faith ? "" I wear out my suit ."
despite your old age this golden time of your youth,despite of wrinkles this thy golden time
but do not do so i love you in such a way that,but do not so i love thee in such sort
"Cheers , boys .","Cheerly , boys ."
Are you still set on marrying my brother's daughter ?,Are you yet determined Today to marry with my brother's daughter ?
"Come , lady ; you must die in order to live .","Presently away , For to strange sores strangely they strain the cure. , Come , lady , die to live ."
I'll talk with this good man .,I'll talk with this good fellow .
I won't lodge any more than that under my roof .,To no more Will I give place or notice .
"Three or four women near me cried , ""Alas , good soul ! "" and forgave him with all their hearts .","Three or four wenches where I stood cried , ""Alas , good soul ! "" and forgave him with all their hearts ."
"Oh , teach me how you look the way you do , and which tricks you used to make Demetrius fall in love with you .","O , teach me how you look and with what art You sway the motion of Demetrius ' heart ."
But,"But , oh , vain boast !"
"And as long as she's herself , wise , beautiful , and faithful , she'll always have a place in my heart .","And therefore , like herself , wise , fair and true , Shall she be placed in my constant soul ."
"Hail , brave friend !","Hail , brave friend !"
the goddess responsible for my harmful actions,the guilty goddess of my harmful deeds
"A king , perhaps , My lord , How is it that the prophet didn't tell me at the time that I would kill him ?","A king , perhaps , My lord , How chance the prophet could not at that time Have told me , I being by , that I should kill him ?"
"What do you say , James Well , I don't know what to say .","Faith , I know not what to say ."
"Very well , thank you .",I humbly thank you .
Let it stay in your inventory until it bankrupts you .,Lie they upon thy hand And be undone by 'em !
if there is nothing truly new and everything that exists,if there be nothing new but that which is
"If you happen to see Horatio and Marcellus , who are supposed to stand guard with me tonight , tell them to hurry .","If you do meet Horatio and Marcellus , The rivals of my watch , bid them make haste ."
And that's how she died ?,And died so ?
i wont go to the places you frequent and in my tongue,be absent from thy walks and in my tongue
whatever is best i wish that you can possess it,look what is best that best i wish in thee
And this is Metellus Cimber .,"And this , Metellus Cimber ."
Get him to bed and make sure his wounds are treated .,"Get him to bed , and let his hurt be looked to ."
"Come here , you wretch !","Come hither , you rogue !"
Which one of you killed the deer ?,Which is he that killed the deer ?
You don't know how quickly affection can be killed with a single nasty word .,One doth not know How much an ill word may empoison liking .
and bad experiences proved that you are the best,and worse essays proved thee my best of love
"Why do you complain about your birth , the heavens , and the earth ?","Why rail'st thou on thy birth , the heaven , and earth ?"
Did you hear a noise ?,Didst thou not hear a noise ?
"He will , sir , if He wants to .","By heaven , thy madness shall be paid by weight , Till our scale turn the beam ."
"I was too young at the time to appreciate her value , but now I know her .","I was too young that time to value her , But now I know her ."
"What , are you trying to make me crazy ?","What , would you make me mad ?"
"I'm telling you , it was Carthage .","I assure you , Carthage ."
"Ever since Cordelia left for France , sir , the fool has been depressed .","Since my young lady's going into France , sir , the fool hath much pined away ."
"But what danger we'll put ourselves in , two young , innocent women traveling so far !","Alas , what danger will it be to us , Maids as we are , to travel forth so far ?"
"Madam , I am not well .","Madam , I am not well ."
What time is it ?,What hour now ?
"Well , enough about them. , Come here , Catesby .","Well , let them rest. , Come hither , Catesby ."
"Mistress , you have to go see your father .","Mistress , you must come away to your father ."
It's my daughter !,My daughter !
That part of his reputation will stand .,He will keep that good name still .
do i not think about you even when i forget,do i not think on thee when i forgot
"I've been stripped of everything , betrayed .",Betrayed I am .
The person who's poor and contented is rich enough .,"Poor and content is rich , and rich enough , But riches fineless is as poor as winter To him that ever fears he shall be poor ."
They have me tied to a stake .,They have tied me to a stake .
"My lord of Orleans , and my lord high Constable , are you talking about horses and armor ?","My lord of Orleans , and my Lord High Constable , you talk of horse and armor ?"
"Are you satisfied , Jew ?","Art thou contented , Jew ?"
Good lord !,Blessed pudding !
"No more , please .","On my knees I beg That you'll vouchsafe me raiment , bed , and food."" Good sir , no more ."
Let it go .,Cast it off !
Are you planning on showing me all your wit at once ?,Wilt thou show the whole wealth of thy wit in an instant ?
too low for you to remember,too base of thee to be remembered
come between promises and change the decrees of kings,creep in 'twixt vows and change decrees of kings
He's not brave enough to be wise .,"For his valor can not carry his discretion , and the fox carries the goose ."
He almost begs for the opportunity to help you .,For he partly begs To be desired to give .
Maybe he's not feeling well .,Maybe he is not well .
"God be with all of you , princes .","God be wi ' you , princes all ."
Observe how Antony takes his defeat and how his attitude influences his actions .,"Observe how Antony becomes his flaw , And what thou think'st his very action speaks In every power that moves ."
"I'll do anything you ask , monster , anything reasonable. , Come on , Trinculo , let's sing .","At thy request , monster , I will do reason , any reason. , Come on , Trinculo , let us sing ."
You didn't arrive like Caesar's sister .,You come not Like Caesar's sister .
Give me comfort .,Comfort me .
"Well , time is the old judge that tries your kind of criminal .","Well , time is the old justice that examines all such offenders , and let time try ."
you may see in me that time of the year,that time of year thou mayst in me behold
This is Cinna .,"This , Cinna ."
What my lord said I was .,Such as she says my lord did say I was .
What are you going to do now ?,And what will you do now ?
"That's what she was expecting , and you let her down .","This was looked for at your hand , and this was balked ."
I'm not bringing any declarations of war or demands for cash .,"I bring no overture of war , no taxation of homage ."
What three things does drink make a man do ?,What three things does drink especially provoke ?
She's crying .,"Make her amends , she weeps ."
for example seeing worth itself born as beggar,as to behold desert a beggar born
"Seriously , I think our clothes are as fresh now as they were the day we put them on in Africa , when we attended the marriage of the king's daughter Claribel to the King of Tunis .","Methinks our garments are now as fresh as when we put them on first in Afric , at the marriage of the king's fair daughter Claribel to the King of Tunis ."
How many noblemen would be weeded out and would become peasants ?,How much low peasantry would then be gleaned From the true seed of honor !
"How can it seem like I'm making fun of you , when my tears prove that I'm sincere ?","How can these things in me seem scorn to you , Bearing the badge of faith to prove them true ?"
Get going already .,Fetch me an iron crow .
"But if you see a wheel going uphill , latch on for the ride .","But the great one that goes up the hill , let him draw thee after ."
They say he used to fence for the shah of Persia .,They say he has been fencer to the Sophy .
"No , I'll recite it for you right now : ""de hand , de fangres , de nails , "" ""De nails , "" madame .","It must be so , for miracles are ceased , And therefore we must needs admit the means How things are perfected ."
You agreed to send me troops and weapons when I needed them .,"The honor is sacred which he talks on now , Supposing that I lacked it. , But , on , Caesar ."
"Well , let it strike ten then .","Well , let it strike ."
Tell every soldier to break off a branch and hold it in front of him .,Let every soldier hew him down a bough And bear 't before him .
Get that fool out of here .,Take the fool away .
All this fighting is because of you .,"You , mistress , all this coil is long of you ."
And you won't until the needy eat .,Nor shalt not till necessity be served .
"What , are you crazy ?","What , are you mad ?"
I'll confess to you that I love him .,I will confess to you that I love him .
I swear to God you're accusing me wrongly !,"By heaven , you do me wrong !"
I wish your loyalty were as foolish .,I would your duty were as foolish too .
and they estimate the quality of your mind by your actions,and that in guess they measure by thy deeds
"If you sink , you're dragging love down .","And to sink in it , should you burthen love , Too great oppression for a tender thing ."
"If I tremble then , you can call me a little girl .","If trembling I inhabit then , protest me The baby of a girl ."
